center,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
hup,0.6531465870908776,0.44082924742109675,0.8654639267606582,0.695456659086985,0.5162742412315109,0.7939808908749432,0.6920869883040934,0.5555555555555556,10.555555555555555,0.09983238106713282,0.6753689300127136,36,3667,0.1679847286610308,0.20179983637851104,36,36,T0_P2_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.5792310241268399,0.4381695923958102,0.7202924558578693,0.6117232757853768,0.580434458763711,0.665759709772692,0.7389455782312925,0.6190476190476191,17.428571428571427,0.181516909643766,0.6121424697863039,21,2141,0.38159738439981317,0.2666978047641289,21,21,T0_P2_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.6527488671839248,0.4407740354401676,0.864723698927682,0.6952097720689522,0.5065522821482131,0.7552669890682348,0.6616260162601627,0.5333333333333333,6.933333333333334,0.10973061693479577,0.66189462031415,15,925,0.1772972972972973,0.2227027027027027,15,15,T0_P2_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
pediatric,0.6010955640197055,0.34306336540571336,0.8591277626336976,0.6138383158303344,0.41509766521720204,0.6728103205434488,0.5916135204081632,0.5,15.625,0.13090235595225777,0.6005857944682258,8,902,0.16186252771618626,0.18736141906873613,8,8,T0_P2_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
hup,0.6551642207973813,0.4433262213266066,0.8670022202681562,0.6970496769180791,0.5367420685732246,0.800131233274278,0.7664289799706466,0.6666666666666666,10.444444444444445,0.09835649175815188,0.6757726364953035,36,3667,0.1679847286610308,0.20070902645214073,36,36,T1_FUSION_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
lzu,0.5824772511138123,0.4391117744469867,0.7258427277806381,0.6140246312157788,0.5839380705215635,0.6641840162983472,0.808390022675737,0.7619047619047619,17.61904761904762,0.18450270073419847,0.6143954283663151,21,2141,0.38159738439981317,0.25735637552545537,21,21,T1_FUSION_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
multicenter,0.6682799605017481,0.46521357478676056,0.8713463462167357,0.7169289540722817,0.5056609800103129,0.7553693492223414,0.6649593495934959,0.5333333333333333,6.4,0.1025326726078897,0.6551218537423353,15,925,0.1772972972972973,0.22486486486486487,15,15,T1_FUSION_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
pediatric,0.6188266073698421,0.3665035075613823,0.8711497071783019,0.6292757185578588,0.44395169991323424,0.6855169997195727,0.6470238095238094,0.625,14.625,0.12491847613735418,0.6218649980051587,8,902,0.16186252771618626,0.18070953436807094,8,8,T1_FUSION_SCORE_P2_THRESHOLD,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
hup,0.667620283555719,0.4698649302159791,0.8653756368954592,0.7142697655035933,0.5367420685732246,0.800131233274278,0.7664289799706466,0.6666666666666666,10.38888888888889,0.09635508898857292,0.6757726364953035,36,3667,0.1679847286610308,0.21652577038451049,36,36,T2_FUSION_SCORE_FUSION_THRESHOLD,EXPLORATORY_LOCKED_FUSION
lzu,0.5846271688799417,0.44788034196646603,0.7213739957934171,0.617368261718397,0.5839380705215635,0.6641840162983472,0.808390022675737,0.7619047619047619,17.047619047619047,0.17840416048651173,0.6143954283663151,21,2141,0.38159738439981317,0.27043437645959834,21,21,T2_FUSION_SCORE_FUSION_THRESHOLD,EXPLORATORY_LOCKED_FUSION
multicenter,0.676935087898947,0.48002862624940934,0.8738415495484844,0.7277757508597564,0.5056609800103129,0.7553693492223414,0.6649593495934959,0.5333333333333333,6.2,0.1001871035472485,0.6551218537423353,15,925,0.1772972972972973,0.23891891891891892,15,15,T2_FUSION_SCORE_FUSION_THRESHOLD,EXPLORATORY_LOCKED_FUSION
pediatric,0.6244607693629556,0.3751232993576046,0.8737982393683066,0.6359917554378319,0.44395169991323424,0.6855169997195727,0.6470238095238094,0.625,13.5,0.11387963600507817,0.6218649980051587,8,902,0.16186252771618626,0.18625277161862527,8,8,T2_FUSION_SCORE_FUSION_THRESHOLD,EXPLORATORY_LOCKED_FUSION
